time,nodes,primal,dual,gap,event,nsols
0.11318190000019968,1,,35.84796472243397,,incumbent,1
0.1528247999958694,1,491.5025899416069,35.84796472243397,12.710753002220521,incumbent,2
0.4212690999847837,1,281.4451551944246,49.829494919564965,4.648163916747197,node,2
0.5916015999973752,1,281.4451551944246,52.07419954128124,4.404694794613446,node,2
0.6668181999993976,1,281.4451551944246,52.07419954128124,4.404694794613446,incumbent,3
0.717863199999556,1,241.1817447231133,52.128421273673936,3.6266842315617116,node,3
0.7996452999941539,6,241.1817447231133,52.128421273673936,3.6266842315617116,node,3
0.9037310999992769,6,241.1817447231133,52.128421273673936,3.6266842315617116,incumbent,4
0.9541863999911584,16,231.01387902233586,54.462172171867124,3.241730908075458,node,4
1.0051176999986637,28,231.01387902233586,55.40884701093423,3.1692598111046815,node,4
1.0552726999740116,41,231.01387902233586,55.96557601697027,3.1277852469933705,node,4
1.1060619999771006,55,231.01387902233586,55.96557601697027,3.1277852469933705,node,4
1.1572124999947846,62,231.01387902233586,55.96557601697027,3.1277852469933705,node,5
1.233915299992077,76,231.01387902233586,62.5433469393113,2.69366032244004,node,5
1.2839322999934666,88,231.01387902233586,62.5433469393113,2.69366032244004,node,5
1.3370368999894708,103,231.01387902233586,64.22821476750558,2.596766309924135,node,5
1.3929223999730311,113,231.01387902233586,64.22821476750558,2.596766309924135,node,6
1.4452955999877304,133,231.01387902233586,64.22821476750558,2.596766309924135,node,6
1.516217999975197,141,231.01387902233586,68.91035280238057,2.352382764384211,node,7
1.5665353999938816,153,231.01387902233586,69.97394299006844,2.301427204911465,node,7
1.616891099984059,166,231.01387902233586,70.0089254702179,2.299777527946921,node,7
1.6683975999767426,183,231.01387902233586,70.0089254702179,2.299777527946921,node,7
1.7187693999730982,197,231.01387902233586,70.09766950927924,2.295599991262979,node,7
2.0712769999809097,207,231.01387902233586,70.09766950927924,2.295599991262979,node,8
2.121579999977257,225,231.01387902233586,70.09766950927924,2.295599991262979,node,8
2.1923857999790926,233,231.01387902233586,70.09766950927924,2.295599991262979,node,9
2.2425220999866724,253,231.01387902233586,70.09766950927924,2.295599991262979,node,9
2.294824399985373,260,231.01387902233586,70.09766950927924,2.295599991262979,node,10
2.345015799975954,276,231.01387902233586,70.09766950927924,2.295599991262979,node,10
2.3976023999857716,291,231.01387902233586,70.09766950927924,2.295599991262979,node,10
2.449590599979274,307,231.01387902233586,71.24630686053791,2.24246812504313,node,10
2.501367399992887,321,231.01387902233586,71.25398129924865,2.2421188937097583,node,10
2.554149499977939,337,231.01387902233586,71.25398129924865,2.2421188937097583,node,10
2.6204684999829624,349,231.01387902233586,72.3977434220278,2.1908988885977814,node,11
2.672638399992138,365,231.01387902233586,72.3977434220278,2.1908988885977814,node,11
2.723395699984394,381,231.01387902233586,72.3977434220278,2.1908988885977814,node,11
2.773656299978029,388,231.01387902233586,72.3977434220278,2.1908988885977814,node,12
2.8416461999877356,397,231.01387902233586,72.3977434220278,2.1908988885977814,node,13
2.891941699985182,417,231.01387902233586,72.89841037891732,2.168983765510839,node,13
2.941950399981579,436,231.01387902233586,73.52977608908641,2.1417731878096102,node,13
2.992264599975897,455,231.01387902233586,73.52977608908641,2.1417731878096102,node,13
3.262069699994754,464,231.01387902233586,73.52977608908641,2.1417731878096102,node,14
3.3132909999985714,477,231.01387902233586,73.52977608908641,2.1417731878096102,node,14
3.3703940999985207,492,231.01387902233586,73.52977608908641,2.1417731878096102,node,14
3.4211671999946702,503,231.01387902233586,73.52977608908641,2.1417731878096102,node,14
3.476905599993188,518,231.01387902233586,73.52977608908641,2.1417731878096102,node,14
3.911292399978265,526,231.01387902233586,73.52977608908641,2.1417731878096102,node,15
3.9623585999943316,539,231.01387902233586,73.52977608908641,2.1417731878096102,node,15
4.013078399992082,553,231.01387902233586,73.52977608908641,2.1417731878096102,node,15
4.065281399991363,569,231.01387902233586,73.52977608908641,2.1417731878096102,node,15
4.11675699998159,586,231.01387902233586,74.5846478802829,2.09733820012317,node,15
4.303143999975873,596,231.01387902233586,74.5846478802829,2.09733820012317,node,15
4.354020999977365,616,231.01387902233586,74.5846478802829,2.09733820012317,node,15
4.410064299998339,631,231.01387902233586,74.71550237348468,2.0919136147616793,node,15
4.46089249997749,648,231.01387902233586,76.12253651025844,2.034763285787303,node,15
4.514076999999816,662,231.01387902233586,76.61941305363226,2.0150828597529213,node,15
4.564235300000291,679,231.01387902233586,76.66123933220317,2.0134378342262673,node,15
4.614496499998495,693,231.01387902233586,76.96031589541802,2.0017272711856124,node,15
4.664873799978523,705,231.01387902233586,77.03282815227378,1.9989016963739374,node,15
4.7448646999837365,711,231.01387902233586,77.03282815227378,1.9989016963739374,node,15
4.798596499982523,727,231.01387902233586,77.03282815227378,1.9989016963739374,node,15
4.849306199990679,744,231.01387902233586,77.73645182868152,1.9717574392442403,node,15
4.9031533999950625,759,231.01387902233586,77.73645182868152,1.9717574392442403,node,15
4.956985799974063,778,231.01387902233586,77.73645182868152,1.9717574392442403,node,15
5.007075999979861,799,231.01387902233586,78.24663188718536,1.952381124281588,node,15
5.0590214999974705,824,231.01387902233586,78.24663188718536,1.952381124281588,node,15
5.109145099995658,843,231.01387902233586,78.27868840278754,1.9511720716836813,node,15
5.159299899998587,857,231.01387902233586,78.27868840278754,1.9511720716836813,node,15
5.211647399992216,874,231.01387902233586,79.4644568932719,1.9071346870539718,node,15
5.262500799988629,887,231.01387902233586,79.4644568932719,1.9071346870539718,node,15
5.313957499980461,902,231.01387902233586,79.4644568932719,1.9071346870539718,node,15
5.366199999989476,917,231.01387902233586,79.4644568932719,1.9071346870539718,node,15
5.4193918999808375,933,231.01387902233586,79.4644568932719,1.9071346870539718,node,15
5.474928799987538,948,231.01387902233586,79.4644568932719,1.9071346870539718,node,15
5.527702199993655,964,231.01387902233586,79.4644568932719,1.9071346870539718,node,15
5.579088200000115,979,231.01387902233586,79.4644568932719,1.9071346870539718,node,15
5.629118299984839,994,231.01387902233586,79.51875829481885,1.9051494763769203,node,15
5.680576999991899,1007,231.01387902233586,79.8377929285243,1.8935403967035223,node,15
5.732443599990802,1022,231.01387902233586,80.20641919840027,1.880241772804931,node,15
5.7829213999793865,1037,231.01387902233586,80.20641919840027,1.880241772804931,node,15
5.834006699995371,1050,231.01387902233586,80.20641919840027,1.880241772804931,node,15
5.886697099980665,1067,231.01387902233586,80.20641919840027,1.880241772804931,node,15
5.937062899989542,1081,231.01387902233586,80.20641919840027,1.880241772804931,node,15
5.988460099993972,1094,231.01387902233586,80.26153536915973,1.8782638901660271,node,15
6.039049799990607,1108,231.01387902233586,80.62231689965543,1.8653837784128873,node,15
6.09157759998925,1123,231.01387902233586,80.62231689965543,1.8653837784128873,node,15
6.141643699986162,1137,231.01387902233586,80.62231689965543,1.8653837784128873,node,15
6.192427499976475,1148,231.01387902233586,80.62231689965543,1.8653837784128873,node,15
6.244894099974772,1167,231.01387902233586,80.62231689965543,1.8653837784128873,node,15
6.298368999996455,1180,231.01387902233586,80.62231689965543,1.8653837784128873,node,15
6.348418999987189,1195,231.01387902233586,80.62231689965543,1.8653837784128873,node,15
6.400404299987713,1213,231.01387902233586,80.62231689965543,1.8653837784128873,node,15
6.452871699992102,1229,231.01387902233586,80.62231689965543,1.8653837784128873,node,15
6.503679299989017,1244,231.01387902233586,80.62231689965543,1.8653837784128873,node,15
6.554278499999782,1256,231.01387902233586,80.62231689965543,1.8653837784128873,node,15
6.606500900001265,1271,231.01387902233586,81.76607902243452,1.8253021519957138,node,15
6.658274099987466,1286,231.01387902233586,81.76607902243452,1.8253021519957138,node,15
6.7104441999981645,1301,231.01387902233586,81.98681550183774,1.8176954746724816,node,15
6.760511299973587,1313,231.01387902233586,81.98681550183774,1.8176954746724816,node,15
6.811294999992242,1325,231.01387902233586,81.98681550183774,1.8176954746724816,node,15
6.861505699984264,1340,231.01387902233586,81.98681550183774,1.8176954746724816,node,15
6.913228399993386,1357,231.01387902233586,82.29376926930928,1.807185538753666,node,15
6.966707799991127,1371,231.01387902233586,82.29376926930928,1.807185538753666,node,15
7.019220699992729,1386,231.01387902233586,82.29376926930928,1.807185538753666,node,15
7.070820199995069,1399,231.01387902233586,82.29376926930928,1.807185538753666,node,15
7.287411599972984,1411,231.01387902233586,82.88957177260625,1.7870077511811018,node,15
7.338410500000464,1427,231.01387902233586,82.88957177260625,1.7870077511811018,node,15
7.389327899989439,1446,231.01387902233586,82.88957177260625,1.7870077511811018,node,15
7.4408854999928735,1459,231.01387902233586,82.88957177260625,1.7870077511811018,node,15
7.492360299977008,1471,231.01387902233586,82.88957177260625,1.7870077511811018,node,15
7.544011799996952,1483,231.01387902233586,82.88957177260625,1.7870077511811018,node,15
7.594846199994208,1499,231.01387902233586,82.88957177260625,1.7870077511811018,node,15
7.645288799976697,1512,231.01387902233586,82.88957177260625,1.7870077511811018,node,15
7.695780999987619,1529,231.01387902233586,82.88957177260625,1.7870077511811018,node,15
7.749045599979581,1541,231.01387902233586,82.88957177260625,1.7870077511811018,node,15
7.799793699989095,1557,231.01387902233586,82.88957177260625,1.7870077511811018,node,15
7.850062599987723,1573,231.01387902233586,83.65206644034222,1.761603972892732,node,15
7.9014520999917295,1587,231.01387902233586,83.65206644034222,1.761603972892732,node,15
7.952725799987093,1603,231.01387902233586,83.65206644034222,1.761603972892732,node,15
8.002766899997368,1617,231.01387902233586,83.65206644034222,1.761603972892732,node,15
8.055745699995896,1629,231.01387902233586,83.65206644034222,1.761603972892732,node,15
8.108778999972856,1644,231.01387902233586,84.05756579957406,1.7482818093158063,node,15
8.161446599988267,1662,231.01387902233586,84.05756579957406,1.7482818093158063,node,15
