arm,time,objective
scip,8.0,1e+20
scip,9.0,194849.0
scip,9.0,192934.0
cuopt,39.59,175468.0
cuopt,41.29,169557.0
cuopt,42.72,168861.0
cuopt,44.15,168406.0
cuopt,45.92,168232.0
cuopt,47.36,168040.0
cuopt,50.46,167856.0
cuopt,53.56,167639.0
cuopt,55.0,167462.0
cuopt,59.5,167286.0
cuopt,60.97,167112.0
hybrid,0.0,171957.0
concurrent,9.0,1e+20
concurrent,10.0,194849.0
concurrent,10.0,192934.0
